"f","fname","instr","value"
"https://mkg.com/data#connection_consume_password_prompt","connection_consume_password_prompt","https://mkg.com/data#ins_004022de","0x004022f6"
"https://mkg.com/data#connection_consume_mounts","connection_consume_mounts","https://mkg.com/data#ins_00402aeb","0x00402c13"
"https://mkg.com/data#util_socket_and_bind","util_socket_and_bind","https://mkg.com/data#ins_00405c77","0x00405c7c"
"https://mkg.com/data#fread","fread","https://mkg.com/data#ins_00401210","qword ptr [0x00608058]"
"https://mkg.com/data#connection_consume_password_prompt","connection_consume_password_prompt","https://mkg.com/data#ins_004022e3","0x004022e8"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_00402877","0x0040287c"
"https://mkg.com/data#connection_consume_mounts","connection_consume_mounts","https://mkg.com/data#ins_00402cf9","0x00402cfe"
"https://mkg.com/data#close","close","https://mkg.com/data#ins_004012a0","qword ptr [0x006080a0]"
"https://mkg.com/data#usleep","usleep","https://mkg.com/data#ins_004014c0","qword ptr [0x006081b0]"
"https://mkg.com/data#util_socket_and_bind","util_socket_and_bind","https://mkg.com/data#ins_00405c04","0x00405c1c"
"https://mkg.com/data#connection_consume_cleanup","connection_consume_cleanup","https://mkg.com/data#ins_0040398a","0x00403995"
"https://mkg.com/data#load","load","https://mkg.com/data#ins_00401806","0x00401939"
"https://mkg.com/data#worker","worker","https://mkg.com/data#ins_00404124","0x00404094"
"https://mkg.com/data#pthread_mutex_unlock","pthread_mutex_unlock","https://mkg.com/data#ins_00401370","qword ptr [0x00608108]"
"https://mkg.com/data#main","main","https://mkg.com/data#ins_00403b21","0x00403c5e"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_004027be","0x0040282a"
"https://mkg.com/data#getsockopt","getsockopt","https://mkg.com/data#ins_004012f0","qword ptr [0x006080c8]"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_0040333f","0x004033c1"
"https://mkg.com/data#connection_consume_iacs","connection_consume_iacs","https://mkg.com/data#ins_00401fed","0x00401ff2"
"https://mkg.com/data#connection_consume_written_dirs","connection_consume_written_dirs","https://mkg.com/data#ins_00402efc","0x00402f0a"
"https://mkg.com/data#htons","htons","https://mkg.com/data#ins_00401260","qword ptr [0x00608080]"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_004032c8","0x004032de"
"https://mkg.com/data#fcntl","fcntl","https://mkg.com/data#ins_00401230","qword ptr [0x00608068]"
"https://mkg.com/data#binary_get_by_arch","binary_get_by_arch","https://mkg.com/data#ins_004019a9","0x004019c9"
"https://mkg.com/data#main","main","https://mkg.com/data#ins_00403a51","0x00403ca6"
"https://mkg.com/data#hexDump","hexDump","https://mkg.com/data#ins_004059a2","0x00405b27"
"https://mkg.com/data#pthread_self","pthread_self","https://mkg.com/data#ins_004013e0","qword ptr [0x00608140]"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_0040298d","0x00402940"
"https://mkg.com/data#connection_consume_written_dirs","connection_consume_written_dirs","https://mkg.com/data#ins_00402dd4","0x00402f1a"
"https://mkg.com/data#connection_consume_login_prompt","connection_consume_login_prompt","https://mkg.com/data#ins_00402171","0x004020d1"
"https://mkg.com/data#server_telnet_probe","server_telnet_probe","https://mkg.com/data#ins_0040452d","0x00404678"
"https://mkg.com/data#telnet_info_parse","telnet_info_parse","https://mkg.com/data#ins_004057ff","0x0040590d"
"https://mkg.com/data#main","main","https://mkg.com/data#ins_00403c9a","0x00403c75"
"https://mkg.com/data#bind","bind","https://mkg.com/data#ins_004013c0","qword ptr [0x00608130]"
"https://mkg.com/data#sysconf","sysconf","https://mkg.com/data#ins_00401420","qword ptr [0x00608160]"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_00403207","0x004032ed"
"https://mkg.com/data#connection_consume_mounts","connection_consume_mounts","https://mkg.com/data#ins_00402d03","0x00402d08"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_00403148","0x004032f7"
"https://mkg.com/data#memcpy","memcpy","https://mkg.com/data#ins_00401350","qword ptr [0x006080f8]"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_0040282a","0x0040282f"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_004032e3","0x004032e8"
"https://mkg.com/data#telnet_info_parse","telnet_info_parse","https://mkg.com/data#ins_0040588e","0x004058c1"
"https://mkg.com/data#globfree","globfree","https://mkg.com/data#ins_00401190","qword ptr [0x00608018]"
"https://mkg.com/data#server_create","server_create","https://mkg.com/data#ins_00404015","0x00403f4b"
"https://mkg.com/data#connection_upload_wget","connection_upload_wget","https://mkg.com/data#ins_0040377a","0x00403785"
"https://mkg.com/data#connection_consume_mounts","connection_consume_mounts","https://mkg.com/data#ins_00402c0e","0x00402c13"
"https://mkg.com/data#connect","connect","https://mkg.com/data#ins_00401460","qword ptr [0x00608180]"
"https://mkg.com/data#util_memsearch","util_memsearch","https://mkg.com/data#ins_00405d14","0x00405d20"
"https://mkg.com/data#connection_consume_prompt","connection_consume_prompt","https://mkg.com/data#ins_0040242d","0x0040238d"
"https://mkg.com/data#telnet_info_parse","telnet_info_parse","https://mkg.com/data#ins_004057ba","0x0040590d"
"https://mkg.com/data#handle_event","handle_event","https://mkg.com/data#ins_00405638","0x00404a78"
"https://mkg.com/data#vsnprintf","vsnprintf","https://mkg.com/data#ins_00401220","qword ptr [0x00608060]"
"https://mkg.com/data#connection_consume_written_dirs","connection_consume_written_dirs","https://mkg.com/data#ins_00402dd9","0x00402dde"
"https://mkg.com/data#connection_upload_tftp","connection_upload_tftp","https://mkg.com/data#ins_00403813","0x00403890"
"https://mkg.com/data#abort","abort","https://mkg.com/data#ins_004011d0","qword ptr [0x00608038]"
"https://mkg.com/data#FUN_00401180","FUN_00401180","https://mkg.com/data#ins_00401186","qword ptr [0x00608010]"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_0040289a","0x0040289f"
"https://mkg.com/data#deregister_tm_clones","deregister_tm_clones","https://mkg.com/data#ins_00401545","RAX"
"https://mkg.com/data#util_trim","util_trim","https://mkg.com/data#ins_00406009","0x00405fc1"
"https://mkg.com/data#util_socket_and_bind","util_socket_and_bind","https://mkg.com/data#ins_00405b66","0x00405c82"
"https://mkg.com/data#connection_close","connection_close","https://mkg.com/data#ins_00401b7b","0x00401dcf"
"https://mkg.com/data#binary_get_by_arch","binary_get_by_arch","https://mkg.com/data#ins_004019bc","0x00401963"
"https://mkg.com/data#load","load","https://mkg.com/data#ins_0040180b","0x00401810"
"https://mkg.com/data#connection_consume_iacs","connection_consume_iacs","https://mkg.com/data#ins_00401eea","0x0040204c"
"https://mkg.com/data#strcmp","strcmp","https://mkg.com/data#ins_00401330","qword ptr [0x006080e8]"
"https://mkg.com/data#handle_event","handle_event","https://mkg.com/data#ins_00404a73","0x00404a78"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_00402fec","0x004033c1"
"https://mkg.com/data#connection_consume_upload_methods","connection_consume_upload_methods","https://mkg.com/data#ins_0040357a","0x0040358d"
"https://mkg.com/data#rand","rand","https://mkg.com/data#ins_004014b0","qword ptr [0x006081a8]"
"https://mkg.com/data#connection_consume_password_prompt","connection_consume_password_prompt","https://mkg.com/data#ins_0040233e","0x00402343"
"https://mkg.com/data#connection_consume_mounts","connection_consume_mounts","https://mkg.com/data#ins_00402ca1","0x00402cfe"
"https://mkg.com/data#connection_upload_tftp","connection_upload_tftp","https://mkg.com/data#ins_0040384c","0x00403890"
"https://mkg.com/data#handle_event","handle_event","https://mkg.com/data#ins_00404a10","0x00405642"
"https://mkg.com/data#free","free","https://mkg.com/data#ins_004011a0","qword ptr [0x00608020]"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_00402677","0x004026b4"
"https://mkg.com/data#hexDump","hexDump","https://mkg.com/data#ins_00405ac7","0x004059ae"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_00403060","0x004033c1"
"https://mkg.com/data#connection_consume_iacs","connection_consume_iacs","https://mkg.com/data#ins_00402047","0x00401e02"
"https://mkg.com/data#main","main","https://mkg.com/data#ins_00403ad9","0x00403ca6"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_00403124","0x00403148"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_0040256f","0x0040289f"
"https://mkg.com/data#strlen","strlen","https://mkg.com/data#ins_00401240","qword ptr [0x00608070]"
"https://mkg.com/data#connection_consume_upload_methods","connection_consume_upload_methods","https://mkg.com/data#ins_004034fa","0x00403598"
"https://mkg.com/data#stats_thread","stats_thread","https://mkg.com/data#ins_00403d7d","0x00403cd4"
"https://mkg.com/data#connection_upload_echo","connection_upload_echo","https://mkg.com/data#ins_00403644","0x00403723"
"https://mkg.com/data#binary_init","binary_init","https://mkg.com/data#ins_00401785","0x00401643"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_004032f7","0x004032fc"
"https://mkg.com/data#atoi","atoi","https://mkg.com/data#ins_00401430","qword ptr [0x00608168]"
"https://mkg.com/data#timeout_thread","timeout_thread","https://mkg.com/data#ins_0040438d","0x00404159"
"https://mkg.com/data#util_sockprintf","util_sockprintf","https://mkg.com/data#ins_00405f26","0x00405f34"
"https://mkg.com/data#connection_upload_tftp","connection_upload_tftp","https://mkg.com/data#ins_004037da","0x00403890"
"https://mkg.com/data#__gmon_start__","__gmon_start__","https://mkg.com/data#ins_004014e0","qword ptr [0x00607ff8]"
"https://mkg.com/data#connection_consume_iacs","connection_consume_iacs","https://mkg.com/data#ins_00401fbf","0x00401fed"
"https://mkg.com/data#connection_consume_arm_subtype","connection_consume_arm_subtype","https://mkg.com/data#ins_0040341a","0x0040349e"
"https://mkg.com/data#load","load","https://mkg.com/data#ins_00401930","0x00401810"
"https://mkg.com/data#glob","glob","https://mkg.com/data#ins_00401300","qword ptr [0x006080d0]"
"https://mkg.com/data#sleep","sleep","https://mkg.com/data#ins_00401470","qword ptr [0x00608188]"
"https://mkg.com/data#connection_consume_iacs","connection_consume_iacs","https://mkg.com/data#ins_00402042","0x00402047"
"https://mkg.com/data#util_memsearch","util_memsearch","https://mkg.com/data#ins_00405d2e","0x00405cc8"
"https://mkg.com/data#connection_consume_arch","connection_consume_arch","https://mkg.com/data#ins_004030cd","0x004032fc"
"https://mkg.com/data#fopen","fopen","https://mkg.com/data#ins_004013f0","qword ptr [0x00608148]"
"https://mkg.com/data#connection_consume_iacs","connection_consume_iacs","https://mkg.com/data#ins_00401f85","0x0040204c"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_00402838","0x0040277f"
"https://mkg.com/data#connection_consume_mounts","connection_consume_mounts","https://mkg.com/data#ins_00402a17","0x00402d71"
"https://mkg.com/data#connection_consume_psoutput","connection_consume_psoutput","https://mkg.com/data#ins_0040287c","0x00402881"
"https://mkg.com/data#telnet_info_parse","telnet_info_parse","https://mkg.com/data#ins_00405884","0x0040590d"
"https://mkg.com/data#handle_event","handle_event","https://mkg.com/data#ins_00404aa3","RCX"
"https://mkg.com/data#fflush","fflush","https://mkg.com/data#ins_00401380","qword ptr [0x00608110]"
"https://mkg.com/data#epoll_ctl","epoll_ctl","https://mkg.com/data#ins_004012c0","qword ptr [0x006080b0]"
